siff_sId,showName,country,holder,actor,showTime,cname,hname_cn
YC1143    ,蜜月杀机,英国,霍辛·阿米尼, 克斯汀·邓斯特 ，维果·莫腾森 ，奥斯卡·伊萨克,2014-06-14 13:30:00.000,上海影城,一厅
YC1224    ,圆桌,日本,行定勋,芦田爱菜，平干二朗,2014-06-22 15:45:00.000,上海影城,一厅
YC1223    ,菲洛梅娜,英国,斯蒂芬·弗雷斯,朱迪·丹奇，史蒂夫·库根,2014-06-22 13:30:00.000,上海影城,一厅
YC1216    ,她,美国,斯派克·琼斯,杰昆·菲尼克斯，斯嘉丽·约翰逊,2014-06-21 20:45:00.000,上海影城,一厅
YC1214    ,纯真年代 4K,美国,马丁·斯科塞斯,丹尼尔·戴·刘易斯，米歇尔·菲佛,2014-06-21 15:45:00.000,上海影城,一厅
YC1212    ,蓝色茉莉,美国,伍迪·艾伦,凯特·布兰切特，亚历克·鲍德温,2014-06-21 10:30:00.000,上海影城,一厅
YC1205    ,孤独的生还者,美国,彼得·博格,马克·沃尔伯格，泰勒·克奇,2014-06-20 18:30:00.000,上海影城,一厅
YC1195    ,劳动节,美国,贾森·雷特曼,凯特·温丝莱特，乔什·布洛林,2014-06-19 18:30:00.000,上海影城,一厅
YC1185    ,白日梦想家,美国,本·斯蒂勒,本·蒂勒，克里斯汀·格，亚当·科特,2014-06-18 18:30:00.000,上海影城,一厅
YC1184    ,47浪人,美国,卡尔·里辛,基努·里维斯，真田广之,2014-06-18 15:45:00.000,上海影城,一厅
YC1165    ,布达佩斯大饭店,美国,韦斯·安德森, 拉尔夫·费因斯 ， 托尼·雷沃洛利 ， 艾德里安·布洛迪,2014-06-16 18:30:00.000,上海影城,一厅
YC1156    ,苔丝 4K,法国,罗曼·波兰斯基,娜塔莎.金斯基，约翰.科林,2014-06-15 20:45:00.000,上海影城,一厅
YC1155    ,圆桌,日本,行定勋,芦田爱菜，平干二朗,2014-06-15 18:30:00.000,上海影城,一厅
YC1142    ,清须会议,日本,三谷幸喜,役所广司，大泉洋，小日向文世,2014-06-14 10:30:00.000,上海影城,一厅
YC1174    ,魔鬼绳结,美国,阿托姆·伊戈扬,瑞茜·威瑟斯彭，柯林·菲尔斯，戴恩·德哈恩,2014-06-17 15:45:00.000,上海影城,一厅
XM4216    ,断子绝孙大逃亡,乌克兰,阿列克谢·扎列夫斯基,李松·亚历山大，伊娜·佐波娃，马克·伯登,2014-06-21 20:45:00.000,星美正大影城,四厅
XM4215    ,外交秘闻,法国,沃尔克·施隆多夫, 安德烈·杜索里埃 ， 尼尔斯·阿莱斯楚普,2014-06-21 18:30:00.000,星美正大影城,四厅
XM4214    ,偷书贼,美国,布莱恩·派西维尔,杰弗里·拉什，艾米丽·沃森,2014-06-21 15:45:00.000,星美正大影城,四厅
XM4176    ,幻觉围城,澳大利亚,塞巴斯蒂安·盖伊,克里斯蒂安·克拉克，乔治娜·海格,2014-06-17 20:45:00.000,星美正大影城,四厅
XM4153    ,自我,瑞典,丽莎·詹姆斯·拉赫松,马丁·沃斯特罗姆，玛莲娜·艾秋,2014-06-15 13:30:00.000,星美正大影城,四厅
XM4146    ,哈比狂想曲,德国,迈克尔·鲍曼,维达·埃里希，托斯特·莫顿，克劳斯·曼彻,2014-06-14 20:45:00.000,星美正大影城,四厅
XM4145    ,悬案密码：笼中女人,丹麦,迈克尔·诺加德,尼古拉·雷·卡斯，法瑞斯·法瑞斯,2014-06-14 18:30:00.000,星美正大影城,四厅
XM4144    ,秋季往事,土耳其,凯雷姆·德伦, Farah Zeynep Abdullah，Engin Akyürek ,2014-06-14 15:45:00.000,星美正大影城,四厅
XM4154    ,赛马王,丹麦,安妮·格莱斯·贝加拉,布贾内·亨里克森,2014-06-15 15:45:00.000,星美正大影城,四厅
XM4224    ,换个人来爱,法国,艾曼纽勒·莫雷,维吉妮·拉朵嫣，乔伊·斯塔尔,2014-06-22 15:45:00.000,星美正大影城,四厅
XM4213    ,不是童话,印度,埃特努·高仕,索米特拉·查特吉，拉迪卡·阿普特,2014-06-21 13:30:00.000,星美正大影城,四厅
XM4206    ,莎拉宁愿跑步,加拿大,科洛·罗比乔德,索菲·德马雷，让·塞巴斯蒂安·库尔谢尼,2014-06-20 20:45:00.000,星美正大影城,四厅
XM4205    ,一路有你,马来西亚,周青元,本·菲佛，乔安娜·杨，李赛鹏,2014-06-20 18:30:00.000,星美正大影城,四厅
XM4196    ,结婚前夜,韩国,洪智暎,金康宇，李妍熙,2014-06-19 20:45:00.000,星美正大影城,四厅
XM4166    ,小英格兰,希腊,潘多利·佛加瑞,Pinelopi Tsilika，Sofia Kokkali，Aneza Papadopoulou,2014-06-16 20:45:00.000,星美正大影城,四厅
XM4165    ,3 英里限制,新西兰,克雷格·纽兰,马特·惠伦,2014-06-16 18:30:00.000,星美正大影城,四厅
